Regiao;Data;Usuarios recorrentes;Primeiras visitas;Total de usuarios;Usuarios
Rio de Janeiro;20230915;52;48;99;97
Rio de Janeiro;20230901;47;34;80;76
Rio de Janeiro;20230825;40;32;72;71
Rio de Janeiro;20230827;37;29;60;58
Rio de Janeiro;20230826;36;42;73;73
Rio de Janeiro;20230914;36;19;56;54
Rio de Janeiro;20230831;35;30;61;60
Rio de Janeiro;20230916;34;42;74;69
Rio de Janeiro;20230819;33;29;59;56
Rio de Janeiro;20230818;31;15;46;44
Rio de Janeiro;20230820;31;33;66;62
Rio de Janeiro;20230823;31;31;62;61
Rio de Janeiro;20230830;31;31;61;60
Rio de Janeiro;20230903;31;27;58;56
Rio de Janeiro;20230810;30;58;83;82
Rio de Janeiro;20230902;29;19;50;46
Rio de Janeiro;20230807;28;33;60;57
Rio de Janeiro;20230809;28;49;76;75
Rio de Janeiro;20230811;28;29;58;54
Rio de Janeiro;20230814;28;21;46;45
Rio de Janeiro;20230821;28;23;49;46
Rio de Janeiro;20230824;28;29;56;54
Rio de Janeiro;20230913;28;20;48;48
Rio de Janeiro;20230808;27;44;67;62
Rio de Janeiro;20230813;27;45;67;67
Rio de Janeiro;20230905;27;20;47;44
Rio de Janeiro;20230918;27;23;51;49
Rio de Janeiro;20230904;26;18;42;41
Rio de Janeiro;20230911;26;9;36;34
Rio de Janeiro;20230828;25;20;47;43
Rio de Janeiro;20230804;23;35;49;48
Rio de Janeiro;20230812;23;20;44;39
Rio de Janeiro;20230817;23;18;39;38
Rio de Janeiro;20230829;23;20;43;41
Rio de Janeiro;20230908;23;22;45;43
Rio de Janeiro;20230906;22;27;53;49
Rio de Janeiro;20230806;21;36;55;53
Rio de Janeiro;20230815;21;23;41;39
Rio de Janeiro;20230822;21;25;45;44
Rio de Janeiro;20230907;20;22;45;41
Rio de Janeiro;20230910;20;14;30;30
Rio de Janeiro;20230917;20;15;34;33
Rio de Janeiro;20230912;19;28;50;45
Rio de Janeiro;20230816;15;19;35;34
Rio de Janeiro;20230805;14;41;50;49
Rio de Janeiro;20230803;13;27;35;34
Rio de Janeiro;20230909;11;11;24;22
Sao Paulo;20230825;9;8;20;18
Sao Paulo;20230811;8;15;19;19
Sao Paulo;20230810;7;7;16;16
Sao Paulo;20230827;7;2;9;8
Sao Paulo;20230903;7;16;22;21
Federal District;20230828;6;3;9;9
Federal District;20230901;6;2;7;7
Minas Gerais;20230826;6;1;7;7
Minas Gerais;20230828;6;0;6;6
Minas Gerais;20230830;6;1;6;6
Minas Gerais;20230831;6;11;14;14
Minas Gerais;20230901;6;5;10;10
Sao Paulo;20230826;6;13;16;16
Federal District;20230821;5;1;6;6
Federal District;20230902;5;1;6;6
Federal District;20230904;5;3;8;8
Federal District;20230905;5;2;6;6
Federal District;20230906;5;1;6;6
Federal District;20230914;5;4;9;7
Minas Gerais;20230824;5;7;12;12
Minas Gerais;20230825;5;3;6;6
Parana;20230902;5;2;7;7
Sao Paulo;20230818;5;8;13;13
Sao Paulo;20230831;5;22;28;27
Sao Paulo;20230901;5;11;17;16
Sao Paulo;20230902;5;5;12;10
Sao Paulo;20230905;5;10;17;16
Sao Paulo;20230914;5;8;12;12
Sao Paulo;20230916;5;18;23;22
Federal District;20230825;4;3;6;6
Federal District;20230826;4;1;5;5
Federal District;20230831;4;3;7;7
Federal District;20230903;4;1;5;5
Federal District;20230912;4;2;7;6
Federal District;20230915;4;5;8;8
Espirito Santo;20230903;4;2;5;5
Goias;20230831;4;7;10;10
Minas Gerais;20230809;4;4;8;7
Minas Gerais;20230820;4;2;6;6
Minas Gerais;20230823;4;3;7;7
Minas Gerais;20230904;4;1;5;5
Sao Paulo;20230809;4;12;15;15
Sao Paulo;20230828;4;7;11;11
Sao Paulo;20230907;4;5;10;9
Sao Paulo;20230908;4;8;11;11
Sao Paulo;20230917;4;11;15;14
Sao Paulo;20230918;4;7;12;12
Federal District;20230809;3;3;6;6
Federal District;20230813;3;5;8;7
Federal District;20230816;3;0;4;3
Federal District;20230820;3;4;6;6
Federal District;20230822;3;4;6;6
Federal District;20230827;3;1;4;4
Federal District;20230908;3;0;3;3
Federal District;20230911;3;2;5;5
Bahia;20230906;3;1;4;4
Bahia;20230915;3;2;5;5
Ceara;20230916;3;0;3;3
Espirito Santo;20230824;3;2;5;5
Espirito Santo;20230901;3;1;4;4
Espirito Santo;20230912;3;2;4;4
Minas Gerais;20230807;3;3;7;7
Minas Gerais;20230808;3;5;8;8
Minas Gerais;20230814;3;1;3;3
Minas Gerais;20230821;3;1;4;4
Minas Gerais;20230829;3;2;5;5
Minas Gerais;20230906;3;5;8;8
Minas Gerais;20230909;3;2;4;4
Minas Gerais;20230911;3;2;5;5
Rio Grande do Sul;20230810;3;2;5;5
Santa Catarina;20230828;3;0;3;3
Sao Paulo;20230806;3;10;13;13
Sao Paulo;20230808;3;15;17;17
Sao Paulo;20230816;3;6;9;9
Sao Paulo;20230823;3;9;12;12
Sao Paulo;20230824;3;21;25;24
Sao Paulo;20230906;3;8;11;11
Sao Paulo;20230909;3;4;8;8
Sao Paulo;20230910;3;8;10;10
Sao Paulo;20230911;3;7;10;10
(not set);20230808;2;1;3;3
